License Plate,Make,Model,Year
8ADP336,CHEVROLET,TAHOE C1500,2007
8BPM716,HYUNDAI,ELANTRA SE,2018
8BZR976,MINI,COOPER S CLUBMAN ALL4,2017
8CZU833,NISSAN,370Z",2014
8AOY718,LEXUS,NX 300/BASE/F SPORT,2018
8CMW334,JEEP,COMPASS SPORT,2018
8CKL726,TOYOTA,COROLLA/S/LE,2011
8CYG931,MERCEDES-BENZ,SL 450,2018
8BOE024,BMW,530I,2018
8BUE405,LEXUS,SC 430,2002
8BRH015,HONDA,ACCORD SPORT,2015
8GGJ158,HONDA,ACCORD SPORT,2018
8BNY350,DODGE,DART SXT,2013
8EMF343,VOLKSWAGEN,ATLAS SE,2018
8GBL510,CHEVROLET,TAHOE LT,2018
8DDK635,HONDA,CIVIC LX,2010
8FUJ996,SUBARU,IMPREZA 2.5I,2008
8DKC106,TOYOTA,PRIUS C,2018
8AKC254,MINI,COOPER CLUBMAN,2016
8EYU579,FORD,SUPER DUTY DRW F53,2018
8EVH176,JEEP,WRANGLER UNLIMITED SAHARA,2018
8FAK336,HONDA,CIVIC EX,2013
8FEW251,HONDA,ACCORD LX,2017
8GRD162,TESLA,MODEL S,2018
8BNA966,CHEVROLET,SUBURBAN C1500  LS",2017
8DZD463,KIA,SORENTO LX/L,2019
8FKG070,TOYOTA,CAMRY DX/LE/XLE,1996
8DKK414,NISSAN,ALTIMA 2.5/S/SV/SL/SR,2018
8BBD630,TOYOTA,PRIUS,2017
8DIV741,HYUNDAI,ACCENT GLS/GS",2015
8GDF057,MAZDA,CX-3 SPORT,2019
8AOM265,AUDI,SQ5 PREMIUM PLUS,2018
8FSJ041,INFINITI,QX60 LUXE/PURE,2019
8CTJ661,JEEP,CHEROKEE LATITUDE PLUS,2018
8DNZ071,CADILLAC,DTS,2006
8GYA263,TOYOTA,CAMRY LE,2019
8GZL593,Ford,Expedition XLT,2003
8BFB909,HONDA,CR-V TOURING,2018
8CIC342,AUDI,SQ5 PREMIUM PLUS,2018
8ETU463,SCION,XD,2014
8ADV251,TOYOTA,HIGHLANDER HYBRID/XLE",2017
8BNH661,TOYOTA,HIGHLANDER SE/XLE,2018
8CXA624,FORD,FIESTA ST,2016
8HRV005,TESLA,MODEL 3,2018
8FMC613,FORD,EXPLORER XLT,2018
8CJT822,FORD,FOCUS ST,2018
